Date,Mean_Price,Median_Price,Std_Dev,CI_Lower,CI_Upper,Up_Votes,Down_Votes,Same_Votes,Total_Votes,Direction,Confidence,Pct_Change,Cumulative_Return,Signal
2025-04-07 00:00:00,172.53546864651813,219.7024401591821,81.05073848474875,13.67602121641059,331.3949160766257,3.0,2.0,0.0,5.0,UP,0.6,-0.0002549081437328571,-0.22889176023902513,BUY
2025-04-08 00:00:00,53.70990844260518,53.70990844260518,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-0.6887022195265641,-0.7599557164576305,SELL
2025-04-09 00:00:00,53.72120077213731,53.72120077213731,,,,1.0,0.0,0.0,1.0,UP,1.0,0.00021024667253333185,-0.7599052479457551,BUY
2025-04-10 00:00:00,53.72146675848603,53.72146675848603,,,,1.0,0.0,0.0,1.0,UP,1.0,4.9512361022241436e-06,-0.7599040591799507,BUY
2025-04-11 00:00:00,53.72144795137047,53.72144795137047,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-3.5008566767746885e-07,-0.7599041432340985,SELL
2025-04-12 00:00:00,53.72143989117808,53.72143989117808,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-1.500367674545089e-07,-0.7599041792573047,SELL
2025-04-13 00:00:00,53.72144257790888,53.72144257790888,,,,1.0,0.0,0.0,1.0,UP,1.0,5.0012263441701066e-08,-0.7599041672495692,BUY
2025-04-14 00:00:00,53.72144795137047,53.72144795137047,,,,1.0,0.0,0.0,1.0,UP,1.0,1.0002452155433161e-07,-0.7599041432340985,BUY
2025-04-15 00:00:00,53.72145063810126,53.72145063810126,,,,1.0,0.0,0.0,1.0,UP,1.0,5.0012255670139893e-08,-0.759904131226363,BUY
2025-04-16 00:00:00,53.721458698293645,53.721458698293645,,,,1.0,0.0,0.0,1.0,UP,1.0,1.5003675990499232e-07,-0.7599040952031568,BUY
2025-04-17 00:00:00,53.72145601156285,53.72145601156285,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-5.0012245789154974e-08,-0.7599041072108923,SELL
2025-04-18 00:00:00,53.72146138502444,53.72146138502444,,,,1.0,0.0,0.0,1.0,UP,1.0,1.0002449646329126e-07,-0.7599040831954215,BUY
2025-04-19 00:00:00,53.72146138502444,53.72146138502444,,,,0.0,0.0,1.0,1.0,NEUTRAL,1.0,0.0,-0.7599040831954215,HOLD
